               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12317,            0.038919,             0.01755,            0.002098,              0.1267,           0.0012464,          0.00031255,             0.12211,            0.022895,            0.016659,              0.0964,              0.0004,              0.0004
                   1,             0.11793,            0.041496,            0.017295,           0.0023681,             0.14091,           0.0014995,          0.00040214,             0.11139,            0.025023,            0.016014,            0.091873,            0.000873,            0.000873
                   2,              0.1086,            0.048147,            0.016431,           0.0033228,              0.1892,           0.0026359,          0.00069199,            0.099743,            0.027734,            0.015095,            0.087316,            0.001316,            0.001316
                   3,             0.10168,            0.056985,            0.015444,            0.005826,             0.32557,           0.0086814,           0.0022938,            0.090599,            0.029053,            0.013715,            0.082729,            0.001729,            0.001729
                   4,            0.093046,            0.056156,            0.013409,            0.057183,             0.14773,            0.043634,            0.012449,            0.083901,            0.028348,            0.011869,            0.078112,            0.002112,            0.002112
                   5,            0.088031,            0.057061,            0.011568,             0.59095,              0.1392,            0.062357,            0.019443,            0.079181,            0.026917,            0.010067,            0.073465,            0.002465,            0.002465
                   6,            0.082303,            0.049531,            0.011356,             0.61652,             0.17614,            0.098473,            0.028013,             0.07436,            0.030735,           0.0091553,            0.068788,            0.002788,            0.002788
                   7,             0.07617,            0.045387,             0.01066,             0.60963,             0.16595,             0.10054,            0.030532,             0.08195,            0.034901,           0.0088037,            0.064081,            0.003081,            0.003081
                   8,            0.075678,            0.044375,           0.0099979,             0.58206,             0.18182,             0.11615,            0.038396,            0.079586,            0.031205,           0.0086572,            0.059344,            0.003344,            0.003344
                   9,            0.076596,            0.044792,           0.0098333,             0.61574,             0.17898,             0.12491,            0.050024,            0.074372,            0.028166,            0.008595,            0.054577,            0.003577,            0.003577
                  10,            0.073315,            0.039599,            0.011769,             0.65239,             0.24148,              0.2003,             0.08794,            0.067252,             0.02631,           0.0084979,             0.04978,             0.00378,             0.00378
                  11,            0.069216,            0.039204,            0.010128,              0.6733,             0.21591,             0.21958,            0.091398,            0.067427,            0.025819,           0.0084393,            0.044953,            0.003953,            0.003953
                  12,            0.069918,            0.035419,           0.0096617,             0.69014,             0.19886,             0.23022,             0.11049,            0.065612,            0.024372,           0.0083496,            0.040096,            0.004096,            0.004096
                  13,            0.068817,            0.036601,            0.010038,             0.69008,             0.19318,             0.23576,             0.10636,            0.066669,            0.023258,           0.0082782,            0.035209,            0.004209,            0.004209
                  14,            0.070177,            0.039837,           0.0092432,             0.65801,             0.25284,             0.21055,            0.086823,            0.063745,            0.021269,           0.0081647,            0.030292,            0.004292,            0.004292
                  15,            0.066407,              0.0368,            0.010372,             0.69702,             0.24148,             0.24582,             0.10606,            0.062792,            0.020812,           0.0081281,            0.025345,            0.004345,            0.004345
                  16,            0.068876,            0.040772,           0.0097484,             0.67428,             0.23295,             0.21625,             0.10144,            0.066511,            0.020006,           0.0081171,            0.020368,            0.004368,            0.004368
                  17,            0.066617,            0.040423,            0.011268,              0.6815,             0.24716,             0.23661,            0.097907,            0.067031,            0.019976,           0.0081409,            0.015361,            0.004361,            0.004361
                  18,            0.065771,            0.037912,            0.009447,             0.20747,             0.55348,             0.30037,             0.13124,             0.05654,            0.019547,           0.0081555,            0.010324,            0.004324,            0.004324
                  19,             0.06473,             0.04228,           0.0099826,             0.16141,             0.49205,             0.29095,              0.1292,             0.05741,            0.019904,           0.0081171,            0.005257,            0.004257,            0.004257
                  20,             0.06022,            0.035713,            0.010332,              0.7002,             0.23524,             0.26438,             0.12143,            0.059959,            0.018884,            0.008064,               0.004,               0.004,               0.004
                  21,            0.061179,            0.037443,           0.0095469,             0.76567,             0.27557,             0.32211,             0.14823,             0.05404,            0.018663,           0.0080713,               0.004,               0.004,               0.004
                  22,             0.06065,            0.044881,           0.0092296,             0.13618,             0.50625,             0.24351,             0.10774,            0.058043,            0.019846,           0.0079926,              0.0037,              0.0037,              0.0037
                  23,            0.056902,            0.037182,           0.0091643,             0.71635,             0.26136,             0.25327,              0.1131,            0.057612,            0.019122,           0.0079944,              0.0034,              0.0034,              0.0034
                  24,            0.054621,            0.035051,           0.0099919,             0.26366,             0.46932,             0.33739,             0.16859,            0.049644,            0.017976,           0.0080475,              0.0031,              0.0031,              0.0031
                  25,            0.057119,            0.035158,           0.0095417,             0.29649,             0.46932,              0.3379,              0.1618,            0.050332,            0.017736,           0.0080475,              0.0028,              0.0028,              0.0028
                  26,            0.050225,            0.034411,           0.0091366,             0.23469,             0.56136,             0.30864,              0.1558,            0.050319,            0.017632,           0.0080219,              0.0025,              0.0025,              0.0025
                  27,            0.050819,            0.032807,           0.0095638,             0.23905,             0.53352,               0.314,             0.16097,            0.049405,            0.017627,           0.0079852,              0.0022,              0.0022,              0.0022
                  28,            0.051022,            0.038024,           0.0088346,             0.23002,             0.50461,             0.33596,             0.18375,            0.045206,            0.018158,           0.0079083,              0.0019,              0.0019,              0.0019
                  29,            0.049552,            0.039048,            0.009381,              0.2098,             0.58125,             0.32483,             0.17627,            0.045765,            0.018612,           0.0078754,              0.0016,              0.0016,              0.0016
